date	lat	lng	kind
2010/02/08	2.98692700	-78.20068000	Man o war
2010/02/13	36.63536600	-121.88782000	Jellyfish
2010/02/15	-21.12582000	149.22798000	Box Jelly
2010/02/16	-30.25403000	153.14959000	Jellyfish
2010/02/18	36.88461000	-122.03850000	Jellyfish
2010/02/18	36.88372500	-121.94945000	Jellyfish
2010/02/19	30.68516400	-116.05957000	Red Tide
2010/02/19	-21.13486000	149.22584000	Box Jelly
2010/02/19	-38.00536100	-57.53918000	Jellyfish
2010/02/20	26.15174000	-97.15485000	Man o war
2010/02/26	36.82433300	-121.73972000	Jellyfish
2010/03/01	36.13385000	-5.34056000	Man o war
2010/03/01	48.54434000	-123.01289000	Clean sea
2010/03/04	-33.79822900	151.28987000	Man o war
2010/03/05	42.29382000	3.29161000	Jellyfish
2010/03/06	30.27671000	-86.01583000	Red Tide
2010/03/06	34.96000000	-123.25300000	Jellyfish
2010/03/07	34.24524000	-119.26295000	Red Tide
2010/03/08	31.24319000	-113.26252000	Jellyfish
2010/03/09	21.27322000	-157.83028000	Box Jelly
2010/03/10	36.78502000	-121.79555000	Velella
2010/03/11	-12.37916000	130.83994000	Jellyfish
2010/03/14	30.33488000	-87.11746000	Jellyfish
2010/03/17	36.61473500	-121.94514000	Velella
2010/03/18	36.71137000	-4.09996000	Man o war
2010/03/19	7.28755000	134.50235000	Jellyfish
2010/03/19	-32.96894100	-71.54596000	Other
2010/03/19	-32.96894100	-71.54596000	Velella
2010/03/20	-3.13840000	152.66590000	Jellyfish
2010/03/21	26.15082000	-81.81141000	Jellyfish
2010/03/23	30.23178100	-88.08563000	Jellyfish
2010/03/23	42.31947000	3.32232000	Jellyfish
2010/03/24	36.49197300	34.37622000	Jellyfish
2010/03/24	36.95630000	-121.97811000	Other
2010/03/24	34.01168900	-118.56995000	Red Tide
2010/03/25	37.82606000	-122.41945000	Jellyfish
2010/03/27	26.71660000	-82.26502000	Jellyfish
2010/03/28	43.18431000	6.59841000	Jellyfish
2010/03/28	48.54434000	-123.01306000	Other
2010/03/29	-8.65883900	115.12599000	Clean sea
2010/03/29	10.36761000	-61.00571000	Man o war
2010/04/01	70.50000000	-146.42000000	Jellyfish
2010/04/01	30.39353000	-86.49578000	Red Tide
2010/04/01	10.41133900	119.17591000	Jellyfish
2010/04/02	21.40776700	-157.73955000	Man o war
2010/04/02	-8.65900900	115.12771000	Plastic
2010/04/02	7.30049300	134.48811000	Other
2010/04/03	-8.80988800	115.10309000	Plastic
2010/04/03	48.34689000	-4.70232000	Other
2010/04/04	37.44190000	-122.14190000	Velella
2010/04/04	39.89181000	0.67123000	Velella
2010/04/04	19.34662000	-81.38552000	Man o war
2010/04/04	48.54411000	-123.01289000	Other
2010/04/05	7.28840400	134.50424000	Jellyfish
2010/04/05	1.39100000	103.99261000	Jellyfish
2010/04/05	7.28755000	134.50235000	Jellyfish
2010/04/06	21.40689000	-157.73861000	Man o war
2010/04/06	48.54457000	-123.01271000	Other
2010/04/07	9.08154000	78.36289000	Jellyfish
2010/04/07	21.63988000	-158.06459000	Box Jelly
2010/04/07	38.34420000	-0.47710000	Jellyfish
2010/04/09	36.88562000	-122.00520000	Jellyfish
2010/04/09	36.88427000	-121.94900000	Jellyfish
2010/04/09	36.86777000	-121.89600000	Jellyfish
2010/04/09	32.78311000	-79.79107000	Jellyfish
2010/04/10	-35.30910200	138.44576000	Other
2010/04/10	48.54468000	-123.01289000	Jellyfish
2010/04/10	48.54457000	-123.01271000	Jellyfish
2010/04/11	48.54457000	-123.01271000	Other
2010/04/13	41.38504000	2.19632000	Jellyfish
2010/04/13	41.38504000	2.19632000	Jellyfish
2010/04/13	0.14419500	130.05341000	Clean sea
2010/04/15	56.18005600	-4.77512000	Jellyfish
2010/04/15	7.16136000	134.37655000	Clean sea
2010/04/16	37.44190000	-122.14190000	Jellyfish
2010/04/16	37.29000000	-122.30000000	Vertebrate
2010/04/16	42.29128000	3.28920000	Jellyfish
2010/04/17	36.58024700	-121.91528000	Box Jelly
2010/04/17	37.85317000	-122.37156000	Vertebrate
2010/04/17	37.84626000	-0.75909000	Velella
